name,year_start,year_end,position,height(in),weight,birth_date,college
A.C. Green,1986,2001,F-C,81,220,4-Oct-63,Oregon State University
A.J. Bramlett,2000,2000,C,82,227,10-Jan-77,University of Arizona
A.J. English,1991,1992,G,75,175,11-Jul-67,Virginia Union University
A.J. Guyton,2001,2003,G,73,180,12-Feb-78,Indiana University
A.J. Hammons,2017,2017,C,85,260,27-Aug-92,Purdue University
A.J. Price,2010,2015,G,74,181,7-Oct-86,University of Connecticut
A.J. Wynder,1991,1991,G,74,180,11-Sep-64,Fairfield University
A.W. Holt,1971,1971,F,79,210,26-Aug-46,Jackson State University
Aaron Brooks,2008,2018,G,73,161,14-Jan-85,University of Oregon
Aaron Gordon,2015,2018,F,81,220,16-Sep-95,University of Arizona
Aaron Gray,2008,2014,C,85,270,7-Dec-84,University of Pittsburgh
Aaron Harrison,2016,2017,G,78,210,28-Oct-94,University of Kentucky
Aaron James,1975,1979,F,80,210,5-Oct-52,Grambling State University
Aaron McKie,1995,2007,G,77,209,2-Oct-72,Temple University
Aaron Miles,2006,2006,G,73,175,13-Apr-83,University of Kansas
Aaron Swinson,1995,1995,F,77,230,9-Jan-71,Auburn University
Aaron Williams,1994,2008,F-C,81,220,2-Oct-71,Xavier University
Abdel Nader,2018,2018,F,78,230,25-Sep-93,Iowa State University
Abdul Jeelani,1980,1981,F-C,80,210,10-Feb-54,University of Wisconsin-Parkside
Acie Earl,1994,1997,F-C,82,240,23-Jun-70,University of Iowa
Acie Law,2008,2011,G,75,195,25-Jan-85,Texas A&M University
Adam Harrington,2003,2003,G,77,200,5-Jul-80,Auburn University
Adam Keefe,1993,2001,F,81,230,22-Feb-70,Stanford University
Adam Morrison,2007,2010,F,80,205,19-Jul-84,Gonzaga University
Adonal Foyle,1998,2009,C,82,250,9-Mar-75,Colgate University
Adonis Jordan,1994,1999,G,71,170,21-Aug-70,University of Kansas
Adonis Thomas,2014,2014,F,79,200,25-Mar-93,University of Memphis
Adreian Payne,2015,2018,F-C,82,237,19-Feb-91,Michigan State University
Adrian Branch,1987,1990,F-G,79,185,17-Nov-63,University of Maryland
Adrian Caldwell,1990,1998,F-C,80,265,4-Jul-66,Lamar University
Adrian Dantley,1977,1991,F-G,77,208,28-Feb-56,University of Notre Dame
Adrian Griffin,2000,2008,G-F,77,217,4-Jul-74,Seton Hall University
Adrian Smith,1962,1972,G,73,180,5-Oct-36,University of Kentucky
Al Attles,1961,1971,G,73,175,7-Nov-36,North Carolina Agricultural and Technical State University
Al Beard,1968,1968,C,81,200,27-Apr-42,Norfolk State University
Al Bianchi,1957,1966,G,75,185,26-Mar-32,Bowling Green State University
Al Brightman,1947,1947,F,74,195,22-Sep-23,University of Charleston
Al Butler,1962,1965,G,74,175,9-Jul-38,Niagara University
Al Carlson,1976,1976,C,83,235,17-Sep-51,University of Oregon
Al Cervi,1950,1953,G-F,71,170,12-Feb-17,
Al Cueto,1970,1971,C-F,79,230,2-Aug-46,University of Tulsa
Al Eberhard,1975,1978,F,78,225,10-May-52,University of Missouri
Al Ferrari,1956,1963,G-F,76,190,6-Jul-33,Michigan State University
Al Fleming,1978,1978,F,79,215,5-Apr-54,University of Arizona
Al Guokas,1950,1950,F-G,77,200,7-Aug-25,Saint Joseph's University
Al Hairston,1969,1970,G,73,170,11-Dec-45,Bowling Green State University
Al Harrington,1999,2014,F,81,230,17-Feb-80,
Al Henry,1971,1972,C,81,190,9-Feb-49,University of Wisconsin
Al Horford,2008,2018,C-F,82,245,3-Jun-86,University of Florida
Al Jackson,1968,1968,G,73,185,29-Jul-43,Wilberforce University
Al Jefferson,2005,2018,C-F,82,289,4-Jan-85,
Al Lucas,1949,1949,F-G,75,195,4-Jul-22,Fordham University
Al Lujack,1947,1947,F,75,220,5-Oct-20,Georgetown University
Al Masino,1953,1954,G,70,174,5-Feb-28,Canisius College
Al Miksis,1950,1950,C,79,210,2-Feb-28,Western Illinois University
Al Negratti,1947,1947,F-C,75,200,12-Jun-21,Seton Hall University
Al Roges,1954,1955,G-F,76,195,25-Oct-30,Long Island University
Al Salvadori,1968,1968,F,81,220,6-May-45,University of South Carolina
Al Sanders,1973,1973,F,79,240,1-Jan-50,Louisiana State University
Al Skinner,1975,1980,G,75,190,16-Jun-52,University of Massachusetts Amherst
Al Smith,1972,1976,G,73,185,15-Jan-47,Bradley University
Al Thornton,2008,2011,F,80,220,7-Dec-83,Florida State University
Al Tucker,1968,1972,F,80,190,24-Feb-43,Oklahoma Baptist University
Al Williams,1971,1971,F,78,200,3-Feb-48,Drake University
Al Wood,1982,1987,G-F,78,193,2-Jun-58,University of North Carolina
Alaa Abdelnaby,1991,1995,F-C,82,240,24-Jun-68,Duke University
Alan Anderson,2006,2017,G-F,78,220,16-Oct-82,Michigan State University
Alan Hardy,1981,1982,F,79,195,25-May-57,University of Michigan
Alan Henderson,1996,2007,F,81,235,2-Dec-72,Indiana University
Alan Ogg,1991,1993,C,86,240,5-Jul-67,University of Alabama at Birmingham
Alan Sawyer,1951,1951,F,77,195,1-Jan-28,"University of California, Los Angeles"
Alan Williams,2016,2017,F-C,80,260,28-Jan-93,"University of California, Santa Barbara"
Alando Tucker,2008,2010,F,78,205,11-Feb-84,University of Wisconsin
Albert King,1982,1992,F-G,78,190,17-Dec-59,University of Maryland
Alec Burks,2012,2018,G,78,214,20-Jul-91,University of Colorado
Alec Kessler,1991,1994,F-C,83,230,13-Jan-67,University of Georgia
Alec Peters,2018,2018,F,81,232,13-Apr-95,Valparaiso University
Aleksandar Djordjevic,1997,1997,G,74,198,26-Aug-67,
Aleksandar Radojevic,2000,2005,C,87,250,8-Aug-76,Barton County Community College
Alex Abrines,2017,2018,G-F,78,190,1-Aug-93,
Alex Acker,2006,2009,G,77,185,21-Jan-83,Pepperdine University
Alex Blackwell,1993,1993,F,78,250,27-Jun-70,Monmouth University
Alex Bradley,1982,1982,F,78,215,30-Oct-59,Villanova University
Alex Caruso,2018,2018,G,77,186,28-Feb-94,Texas A&M University
Alex English,1977,1991,F,79,190,5-Jan-54,University of South Carolina
Alex Garcia,2004,2005,G,75,220,4-Mar-80,
Alex Groza,1950,1951,C,79,218,7-Oct-26,University of Kentucky
Alex Hannum,1950,1957,F-C,79,210,19-Jul-23,University of Southern California
Alex Kirk,2015,2015,C,85,245,14-Nov-91,University of New Mexico
Alex Len,2014,2018,C,85,260,16-Jun-93,University of Maryland
Alex Poythress,2017,2018,F,79,238,6-Sep-93,University of Kentucky
Alex Scales,2006,2006,G,76,185,3-Jul-78,University of Oregon
Alex Stepheson,2016,2016,F,82,270,7-Aug-87,University of Southern California
Alex Stivrins,1986,1993,F,80,220,29-Nov-62,University of Colorado
Alexander Johnson,2007,2008,F,81,240,8-Feb-83,Florida State University
Alexander Volkov,1990,1992,C,82,218,28-Mar-64,
Alexey Shved,2013,2015,G,78,190,16-Dec-88,
Alexis Ajinca,2009,2017,C,86,248,6-May-88,
Al-Farouq Aminu,2011,2018,F,81,220,21-Sep-90,Wake Forest University
Alfonzo McKinnie,2018,2018,F,80,215,17-Sep-92,University of Wisconsin-Green Bay
Alfred McGuire,1952,1955,G-F,74,180,7-Sep-28,St. John's University
Alfredrick Hughes,1986,1986,F-G,77,215,19-Jul-62,Loyola University of Chicago
Allan Bristow,1974,1983,F-G,79,210,23-Aug-51,Virginia Polytechnic Institute and State University
Allan Houston,1994,2005,G,78,200,20-Apr-71,University of Tennessee
Allan Ray,2007,2007,G,74,190,17-Jun-84,Villanova University
Allen Crabbe,2014,2018,G-F,78,210,9-Apr-92,University of California
Allen Iverson,1997,2010,G,73,165,7-Jun-75,Georgetown University
Allen Leavell,1980,1989,G,73,170,27-May-57,Oklahoma City University
Allen Murphy,1976,1977,G,77,190,15-Jul-52,University of Louisville
Allie McGuire,1974,1974,G,75,175,10-Jul-51,Marquette University
Alonzo Bradley,1978,1980,F,78,190,16-Oct-53,Texas Southern University
Alonzo Gee,2010,2017,G,78,225,29-May-87,University of Alabama
Alonzo Mourning,1993,2008,C,82,240,8-Feb-70,Georgetown University
Alphonso Ford,1994,1995,G,73,190,31-Oct-71,Mississippi Valley State University
Alton Ford,2002,2004,F,81,275,29-May-81,University of Houston
Alton Lister,1982,1998,C-F,85,240,1-Oct-58,Arizona State University
Alvan Adams,1976,1988,C-F,81,210,19-Jul-54,University of Oklahoma
Alvin Heggs,1996,1996,F,80,225,12-Dec-67,University of Texas at Austin
Alvin Jones,2002,2002,C,83,265,9-Sep-78,Georgia Institute of Technology
Alvin Robertson,1985,1996,G,75,185,22-Jul-62,University of Arkansas
Alvin Scott,1978,1985,F-G,79,185,14-Sep-55,Oral Roberts University
Alvin Sims,1999,1999,G,76,235,18-Oct-74,University of Louisville
Alvin Williams,1998,2007,G,77,185,6-Aug-74,Villanova University
Amal McCaskill,1997,2004,F-C,83,235,28-Oct-73,Marquette University
Amar'e Stoudemire,2003,2016,F-C,82,245,16-Nov-82,
Amir Johnson,2006,2018,F-C,81,240,1-May-87,
Anderson Varejao,2005,2017,F-C,82,273,28-Sep-82,
Andrae Patterson,1999,2000,F,81,238,12-Nov-75,Indiana University
Andray Blatche,2006,2014,F,83,235,22-Aug-86,
Andre Barrett,2005,2008,G,70,172,21-Feb-82,Seton Hall University
Andre Brown,2007,2009,F,81,245,12-May-81,DePaul University
Andre Dawkins,2015,2015,G,77,215,19-Sep-91,Duke University
Andre Drummond,2013,2018,C,83,279,10-Aug-93,University of Connecticut
Andre Emmett,2005,2012,F,77,230,27-Aug-82,Texas Tech University
Andre Iguodala,2005,2018,G-F,78,215,28-Jan-84,University of Arizona
Andre McCarter,1977,1981,G,75,190,25-Aug-53,"University of California, Los Angeles"
Andre Miller,2000,2016,G,75,200,19-Mar-76,University of Utah
Andre Moore,1988,1988,F,81,215,2-Jul-64,Loyola University of Chicago
Andre Owens,2006,2008,G,76,200,31-Oct-80,University of Houston
Andre Roberson,2014,2018,G-F,79,210,4-Dec-91,University of Colorado
Andre Spencer,1993,1994,F,78,210,20-Jul-64,Northern Arizona University
Andre Turner,1987,1992,G,71,160,13-Dec-64,University of Memphis
Andre Wakefield,1979,1980,G,75,175,11-Jan-55,Loyola University of Chicago
Andrea Bargnani,2007,2016,F-C,85,245,26-Oct-85,
Andreas Glyniadakis,2007,2007,C,85,280,21-Aug-81,
Andrei Kirilenko,2002,2015,F,81,220,18-Feb-81,
Andres Guibert,1994,1995,F-C,82,225,28-Oct-68,
Andres Nocioni,2005,2012,F,79,225,30-Nov-79,
Andrew Anderson,1968,1970,G,74,184,6-Jul-45,Canisius College
Andrew Bogut,2006,2018,C,85,260,28-Nov-84,University of Utah
Andrew Bynum,2006,2014,C,85,285,27-Oct-87,
Andrew DeClercq,1996,2005,F-C,82,230,1-Feb-73,University of Florida
Andrew Gaze,1994,1999,G,79,205,24-Jul-65,Seton Hall University
Andrew Goudelock,2012,2016,G,75,200,7-Dec-88,College of Charleston
Andrew Harrison,2017,2018,G,78,213,28-Oct-94,University of Kentucky
Andrew Lang,1989,2000,C,83,245,28-Jun-66,University of Arkansas
Andrew Levane,1949,1953,F-G,74,190,11-Apr-20,St. John's University
Andrew Nicholson,2013,2017,F,81,250,8-Dec-89,St. Bonaventure University
Andrew Toney,1981,1988,G,75,178,23-Nov-57,University of Louisiana at Lafayette
Andrew Wiggins,2015,2018,F-G,80,199,23-Feb-95,University of Kansas
Andris Biedrins,2005,2014,C,83,240,2-Apr-86,
Andy Duncan,1949,1951,F-C,78,195,17-Apr-22,College of William & Mary
Andy Johnson,1959,1962,F-G,77,215,8-Nov-32,University of Portland
Andy Kostecka,1949,1949,F,75,203,10-Feb-21,Georgetown University
Andy O'Donnell,1950,1950,G,73,180,10-Mar-25,Loyola College in Maryland
Andy Panko,2001,2001,F,81,222,27-Nov-77,Lebanon Valley College
Andy Phillip,1948,1958,G-F,74,195,7-Mar-22,University of Illinois at Urbana-Champaign
Andy Rautins,2011,2011,G,76,190,2-Nov-86,Syracuse University
Andy Tonkovich,1949,1949,G,73,185,1-Nov-22,Marshall University
Andy Toolson,1991,1996,G-F,78,210,19-Jan-66,Brigham Young University
Andy Walker,1977,1977,G,76,190,25-Mar-55,Niagara University
Anfernee Hardaway,1994,2008,G-F,79,195,18-Jul-71,University of Memphis
Angelo Musi,1947,1949,G,69,145,25-Jul-18,Temple University
Ansley Truitt,1973,1973,C,81,215,24-Aug-50,University of California
Ansu Sesay,2002,2005,F,81,225,29-Jul-76,University of Mississippi
Antawn Jamison,1999,2014,F,80,223,12-Jun-76,University of North Carolina
Ante Zizic,2018,2018,F-C,83,250,4-Jan-97,
Anthony Avent,1993,2000,F,81,235,18-Oct-69,Seton Hall University
Anthony Bennett,2014,2017,F,80,245,14-Mar-93,"University of Nevada, Las Vegas"
Anthony Bonner,1991,1996,F,80,215,8-Jun-68,Saint Louis University
Anthony Bowie,1989,1998,G-F,78,190,9-Nov-63,University of Oklahoma
Anthony Brown,2016,2017,F-G,79,210,10-Oct-92,Stanford University
Anthony Carter,2000,2012,G,73,190,16-Jun-75,University of Hawaii
Anthony Cook,1991,1996,F-C,81,205,19-Mar-67,University of Arizona
Anthony Davis,2013,2018,F-C,82,253,11-Mar-93,University of Kentucky
Anthony Frederick,1989,1992,F,79,205,7-Dec-64,Pepperdine University
Anthony Goldwire,1996,2006,G,73,182,6-Sep-71,University of Houston
Anthony Grundy,2006,2006,G,75,180,15-Apr-79,North Carolina State University
Anthony Johnson,1998,2010,G,75,190,2-Oct-74,College of Charleston
Anthony Jones,1987,1990,G-F,78,195,13-Sep-62,"University of Nevada, Las Vegas"
Anthony Mason,1990,2003,F,79,250,14-Dec-66,Tennessee State University
Anthony Miller,1995,2005,F,81,225,22-Oct-71,Michigan State University
Anthony Morrow,2009,2017,G,77,210,27-Sep-85,Georgia Institute of Technology
Anthony Parker,1998,2012,G,78,215,19-Jun-75,Bradley University
Anthony Peeler,1993,2005,G,76,208,25-Nov-69,University of Missouri
Anthony Pullard,1993,1993,F,82,245,23-Jun-66,McNeese State University
Anthony Randolph,2009,2014,F,82,205,15-Jul-89,Louisiana State University
Anthony Roberson,2006,2009,G,74,180,14-Feb-83,University of Florida
Anthony Roberts,1978,1984,F-G,77,185,15-Apr-55,Oral Roberts University
Anthony Taylor,1989,1989,G,76,175,30-Nov-65,University of Oregon
Anthony Tolliver,2009,2018,F-C,80,240,1-Jun-85,Creighton University
Anthony Tucker,1995,1995,F,80,220,4-Apr-69,Wake Forest University
Antoine Carr,1985,2000,F-C,81,225,23-Jul-61,Wichita State University
Antoine Rigaudeau,2003,2003,G,79,210,17-Dec-71,
Antoine Walker,1997,2008,F,80,224,12-Aug-76,University of Kentucky
Antoine Wright,2006,2011,G-F,79,210,6-Feb-84,Texas A&M University
Antonio Anderson,2010,2010,G,78,215,5-Jun-85,University of Memphis
Antonio Blakeney,2018,2018,G,76,197,4-Oct-96,Louisiana State University
Antonio Burks,2005,2006,G,73,200,25-Feb-80,University of Memphis
Antonio Daniels,1998,2011,G,76,195,19-Mar-75,Bowling Green State University
Antonio Davis,1994,2006,F-C,81,215,31-Oct-68,University of Texas at El Paso
Antonio Harvey,1994,2003,F-C,83,225,6-Jul-70,Pfeiffer University
Antonio Lang,1995,2000,F-G,80,205,15-May-72,Duke University
Antonio McDyess,1996,2011,F-C,81,220,7-Sep-74,University of Alabama
Antonis Fotsis,2002,2002,F,82,219,1-Apr-81,
Antonius Cleveland,2018,2018,G,78,195,2-Feb-94,Southeast Missouri State University
Archie Clark,1967,1976,G,74,175,15-Jul-41,University of Minnesota
Archie Dees,1959,1962,F-C,80,205,22-Feb-36,Indiana University
Archie Goodwin,2014,2017,G,77,200,17-Aug-94,University of Kentucky
Ariel Maughan,1947,1951,F,76,190,23-Feb-23,Utah State University
Arinze Onuaku,2014,2017,C,81,255,13-Jul-87,Syracuse University
Armand Cure,1947,1947,F,73,198,1-Aug-19,University of Rhode Island
Armen Gilliam,1988,2000,F-C,81,230,28-May-64,"University of Nevada, Las Vegas"
Armon Johnson,2011,2012,G,75,195,23-Feb-89,"University of Nevada, Reno"
Armond Hill,1977,1984,G,76,190,31-Mar-53,Princeton University
Arnett Moultrie,2013,2014,F,83,249,18-Nov-90,Mississippi State University
Arnie Ferrin,1949,1951,F-G,74,180,29-Jul-25,University of Utah
Arnie Johnson,1949,1953,F-C,77,236,16-May-20,Bemidji State University
Arnie Risen,1949,1958,C-F,81,200,9-Oct-24,Ohio State University
Aron Baynes,2013,2018,C,82,260,9-Dec-86,Washington State University
Arron Afflalo,2008,2018,G,77,210,15-Oct-85,"University of California, Los Angeles"
Art Burris,1951,1952,F,77,220,7-Apr-24,University of Tennessee
Art Collins,1981,1981,G,76,185,14-Apr-54,St. Thomas University
Art Harris,1969,1972,G,76,185,13-Jan-47,Stanford University
Art Heyman,1964,1970,F-G,77,205,24-Jun-41,Duke University
Art Hillhouse,1947,1948,C,79,220,12-Jun-16,Long Island University
Art Long,2001,2003,F,81,250,1-Oct-72,University of Cincinnati
Art Spector,1947,1950,F,76,200,17-Oct-20,Villanova University
Art Spoelstra,1955,1958,C,81,220,11-Sep-32,Western Kentucky University
Art Stolkey,1947,1947,G,73,180,23-Oct-20,University of Detroit Mercy
Art Williams,1968,1975,G,73,180,29-Sep-39,"California State Polytechnic University, Pomona"
Arthur Becker,1968,1973,F,79,205,12-Jan-42,Arizona State University
Artis Gilmore,1972,1988,C,86,240,21-Sep-49,Jacksonville University
Arvesta Kelly,1968,1972,G,74,175,20-Nov-45,Lincoln University of Missouri
Arvid Kramer,1980,1980,C,81,220,2-Oct-56,Augustana College (SD)
Arvydas Macijauskas,2006,2006,G,76,214,19-Jan-80,
Arvydas Sabonis,1996,2003,C,87,279,19-Dec-64,
Ashraf Amaya,1996,1997,F,80,230,23-Nov-71,Southern Illinois University
Askia Jones,1995,1995,G,77,200,3-Dec-71,Kansas State University
Atila Dos Santos,2014,2015,C,82,230,15-Sep-83,
Aubrey Davis,1947,1947,G-F,74,175,28-Mar-21,Oklahoma Baptist University
Aud Brindley,1947,1947,F,76,175,31-Dec-23,Dartmouth College
Audie Norris,1983,1985,C,81,230,18-Dec-60,Jackson State University
Aulcie Perry,1975,1975,C,82,210,3-Jul-50,Bethune-Cookman College
Austin Carr,1972,1981,G,76,200,10-Mar-48,University of Notre Dame
Austin Croshere,1998,2009,F,81,235,1-May-75,Providence College
Austin Daye,2010,2015,F,83,220,5-Jun-88,Gonzaga University
Austin Rivers,2013,2018,G,76,200,1-Aug-92,Duke University
Avery Bradley,2011,2018,G,74,180,26-Nov-90,University of Texas at Austin
Avery Johnson,1989,2004,G,70,175,25-Mar-65,Southern University and A&M College
Awvee Storey,2005,2008,G-F,78,222,18-Apr-77,Arizona State University
Axel Toupane,2016,2017,G-F,79,197,23-Jul-92,
B.J. Armstrong,1990,2000,G,74,175,9-Sep-67,University of Iowa
B.J. Tyler,1995,1995,G,73,185,30-Apr-71,University of Texas at Austin
Bailey Howell,1960,1971,F,79,210,20-Jan-37,Mississippi State University
Bam Adebayo,2018,2018,C-F,82,243,18-Jul-97,University of Kentucky
Barney Cable,1959,1964,F,79,175,29-Jul-35,Bradley University
Baron Davis,2000,2012,G,75,209,13-Apr-79,"University of California, Los Angeles"
Barry Clemens,1966,1976,F,78,210,1-May-43,Ohio Wesleyan University
Barry Kramer,1965,1970,F-G,76,200,10-Nov-42,New York University
Barry Liebowitz,1968,1968,G,74,180,10-Sep-45,Long Island University
Barry Nelson,1972,1972,C,82,230,19-Sep-49,Duquesne University
Barry Orms,1969,1970,G,75,190,1-May-46,Saint Louis University
Barry Parkhill,1974,1976,G,76,185,10-May-51,University of Virginia
Barry Stevens,1993,1993,G-F,77,195,17-Jan-63,Iowa State University
Barry Sumpter,1989,1989,F-C,83,215,11-Nov-65,Austin Peay State University
Barry Yates,1972,1972,F,79,215,30-Jan-46,University of Maryland
Bart Kofoed,1988,1993,G,76,210,24-Mar-64,University of Nebraska at Kearney
Bato Govedarica,1954,1954,G,71,185,17-Apr-28,DePaul University
Bayard Forrest,1978,1979,C,82,235,8-Jul-54,Grand Canyon University
Belus Smawley,1947,1952,G-F,73,195,20-Mar-18,Appalachian State University
Ben Bentil,2017,2017,F,81,235,29-Mar-95,Providence College
Ben Clyde,1975,1975,F,79,198,10-Jun-51,Florida State University
Ben Coleman,1987,1994,F,81,235,14-Nov-61,University of Maryland
Ben Davis,1997,2000,F,81,240,26-Dec-72,University of Arizona
Ben Gillery,1989,1989,C,85,235,19-Sep-65,Georgetown University
Ben Goldfaden,1947,1947,F,73,185,6-Sep-13,George Washington University
Ben Gordon,2005,2015,G,75,200,4-Apr-83,University of Connecticut
Ben Handlogten,2004,2005,C,82,240,16-Nov-73,Western Michigan University
Ben Hansbrough,2013,2013,G,75,203,23-Dec-87,University of Notre Dame
Ben Kelso,1974,1974,G,75,195,11-Apr-49,Central Michigan University
Ben McDonald,1986,1989,F,80,210,20-Jul-62,"University of California, Irvine"
Ben McLemore,2014,2018,G,77,195,11-Feb-93,University of Kansas
Ben Poquette,1978,1987,F-C,81,235,7-May-55,Central Michigan University
Ben Schadler,1948,1948,F,73,185,9-Mar-24,Northwestern University
Ben Scharnus,1947,1949,F,74,173,11-Dec-17,Seton Hall University
Ben Simmons,2018,2018,G-F,82,230,20-Jul-96,Louisiana State University
Ben Uzoh,2011,2012,G,75,205,19-Mar-88,University of Tulsa
Ben Wallace,1997,2012,F-C,81,240,10-Sep-74,Virginia Union University
Ben Warley,1963,1970,F-G,77,200,4-Sep-36,Tennessee State University
Bennie Swain,1959,1959,F,80,220,16-Dec-33,Texas Southern University
Beno Udrih,2005,2017,G,75,205,5-Jul-82,
Benoit Benjamin,1986,2000,C,85,250,22-Nov-64,Creighton University
Bernard James,2013,2015,C,82,240,7-Feb-85,Florida State University
Bernard King,1978,1993,F,79,205,4-Dec-56,University of Tennessee
Bernard Robinson,2005,2007,G-F,78,210,26-Dec-80,University of Michigan
Bernard Thompson,1985,1989,F-G,78,210,30-Aug-62,"California State University, Fresno"
Bernard Toone,1980,1980,F,81,210,14-Jul-56,Marquette University
Bernie Fryer,1974,1975,G,75,185,25-Dec-49,Brigham Young University
Bernie Harris,1975,1975,F,82,200,26-Nov-50,Virginia Commonwealth University
Bernie Williams,1970,1974,G,75,175,30-Dec-45,La Salle University
Bert Cook,1955,1955,G-F,75,185,26-Apr-29,Utah State University
Bevo Nordmann,1962,1965,C,82,225,11-Dec-39,Saint Louis University
Bill Allen,1968,1968,C-F,80,205,,New Mexico State University
Bill Bolger,1954,1954,F,77,205,21-Aug-31,Georgetown University
Bill Bradley,1968,1968,G,71,165,16-Jun-41,
Bill Bradley,1968,1977,F-G,77,205,28-Jul-43,Princeton University
Bill Bridges,1963,1975,F-C,78,228,4-Apr-39,University of Kansas
Bill Buntin,1966,1966,C-F,79,250,5-May-42,University of Michigan
Bill Bunting,1970,1972,F-C,80,200,26-Aug-47,University of North Carolina
Bill Calhoun,1949,1955,F-G,75,180,4-Nov-27,City College of San Francisco
Bill Cartwright,1980,1995,C,85,245,30-Jul-57,University of San Francisco
Bill Chamberlain,1973,1974,F,78,188,16-Dec-49,University of North Carolina
Bill Closs,1950,1952,F-C,77,195,8-Jan-22,Rice University
Bill Crow,1968,1968,G,73,180,9-Dec-40,Westminster College of Utah
Bill Curley,1995,2001,F,81,220,29-May-72,Boston College
Bill Davis,1947,1947,F,75,215,3-Oct-20,University of Notre Dame
Bill Dinwiddie,1968,1972,F,79,220,15-Jul-43,New Mexico Highlands University
Bill Downey,1948,1948,C,78,210,11-Nov-23,Marquette University
Bill Ebben,1958,1958,G,76,190,7-Oct-35,University of Detroit Mercy
Bill Edwards,1994,1994,F,80,215,22-Sep-71,Wright State University
Bill Gabor,1950,1955,G-F,71,170,13-May-22,Syracuse University
Bill Gaines,1969,1969,G,76,185,10-Mar-46,East Texas State University
Bill Garner,1968,1968,C,82,220,17-Jun-40,University of Portland
Bill Garnett,1983,1986,F,81,225,22-Apr-60,University of Wyoming
Bill Hanzlik,1981,1990,G-F,79,185,6-Dec-57,University of Notre Dame
Bill Henry,1949,1950,C,81,215,27-Dec-24,Rice University
Bill Herman,1950,1950,G,75,170,17-May-24,Mount Union College
Bill Hewitt,1969,1975,F,79,210,8-Aug-44,University of Southern California
Bill Higgins,1975,1975,G,74,180,15-Dec-52,Ashland University
Bill Hosket,1969,1972,F-C,80,225,20-Dec-46,Ohio State University
Bill Jones,1989,1989,F,79,175,18-Mar-66,University of Iowa
Bill Keller,1970,1976,G,70,177,30-Aug-47,Purdue University
Bill Laimbeer,1981,1994,C,83,245,19-May-57,University of Notre Dame
Bill Ligon,1975,1975,G,76,180,29-May-52,Vanderbilt University
Bill Martin,1986,1988,F,79,205,16-Aug-62,Georgetown University
Bill Mayfield,1981,1981,F,79,205,17-Oct-57,University of Iowa
Bill McGill,1963,1970,C-F,81,225,16-Sep-39,University of Utah
Bill Melchionni,1967,1976,G,73,165,19-Oct-44,Villanova University
Bill Meyer,1968,1968,G,75,195,30-Aug-43,Hiram College
Bill Miller,1949,1949,F,75,190,24-Nov-24,University of North Carolina
Bill Mlkvy,1953,1953,F,76,190,19-Jan-31,Temple University
Bill Newton,1973,1974,C,81,220,22-Dec-50,Louisiana State University
Bill Roberts,1949,1950,C,81,210,13-Mar-25,University of Wyoming
Bill Robinzine,1976,1982,F,79,230,20-Jan-53,DePaul University
Bill Russell,1957,1969,C,82,215,12-Feb-34,University of San Francisco
Bill Sharman,1951,1961,G,73,175,25-May-26,University of Southern California
Bill Smith,1962,1962,G-F,77,190,26-Apr-39,Saint Peter's College
Bill Stricker,1971,1971,F,81,210,22-Jan-48,University of the Pacific
Bill Thieben,1957,1958,F-C,79,215,28-Mar-35,Hofstra University
Bill Tosheff,1952,1954,G,73,175,2-Jun-26,Indiana University
Bill Turner,1968,1973,F,79,220,18-Feb-44,University of Akron
Bill Walton,1975,1987,C-F,83,210,5-Nov-52,"University of California, Los Angeles"
Bill Wennington,1986,2000,C,85,245,26-Apr-63,St. John's University
Bill Willoughby,1976,1984,F-C,80,205,20-May-57,
Bill Zopf,1971,1971,G,73,170,7-Jun-48,Duquesne University
Billy Cunningham,1966,1976,F-C,78,210,3-Jun-43,University of North Carolina
Billy DeAngelis,1971,1971,G,73,180,5-Oct-46,Saint Joseph's University
Billy Donovan,1988,1988,G,71,171,30-May-65,Providence College
Billy Evans,1970,1970,G,73,170,3-Mar-47,Boston College
Billy Harris,1975,1975,G,74,185,12-Nov-51,Northern Illinois University
Billy Hassett,1950,1951,G,71,180,21-Oct-21,University of Notre Dame
Billy James,1974,1974,G,75,185,11-Feb-50,Marshall University
Billy Kenville,1954,1960,G-F,74,187,1-Dec-30,St. Bonaventure University
Billy Knight,1975,1985,G-F,78,195,9-Jun-52,University of Pittsburgh
Billy McKinney,1979,1986,G,73,160,5-Jun-55,Northwestern University
Billy Owens,1992,2001,F-G,80,220,1-May-69,Syracuse University
Billy Paultz,1971,1985,C-F,83,235,30-Jul-48,St. John's University
Billy Ray Bates,1980,1983,G,76,210,31-May-56,Kentucky State University
Billy Reid,1981,1981,G,77,190,10-Sep-57,University of San Francisco
Billy Schaeffer,1974,1976,F,77,200,11-Dec-51,St. John's University
Billy Shepherd,1973,1975,G,70,160,18-Nov-49,Butler University
Billy Thomas,2005,2008,G,76,208,23-Dec-75,University of Kansas
Billy Thompson,1987,1992,F,79,195,1-Dec-63,University of Louisville
Bimbo Coles,1991,2004,G,73,180,22-Apr-68,Virginia Polytechnic Institute and State University
Bingo Smith,1970,1980,F-G,77,195,26-Feb-46,University of Tulsa
Bird Averitt,1974,1978,G,73,170,22-Jul-52,Pepperdine University
Bismack Biyombo,2012,2018,C-F,81,255,28-Aug-92,
